uri,title,isco_code,description,num_essential_skills,num_optional_skills
http://data.europa.eu/esco/occupation/9ae8251e-cb8e-4324-9d77-d967d43e6b46,fat-purification worker,8160," Fat-purification workers operate acidulation tanks and equipment that help with the separation of undesirable components from oils. 
",22,13
http://data.europa.eu/esco/occupation/3b46ee4d-a220-4c83-ad90-937456596889,kettle tender,8160,Kettle tenders operate machines that mix chewing gum base with sugar or sweetener. They follow procedures to place gum base in containers and then direct it to flow into mixers.,12,7
http://data.europa.eu/esco/occupation/b69d9b94-a40c-434d-af8f-e584257314f6,milk heat treatment process operator,8160,"Milk heat treatment process operators use equipments to perform different methods of pasteurisation and/or sterilisation to dairy liquid products. They operate equipment such as raw product booster pumps, homogenisers, flavour control equipment, clarifiers, separators, auxiliary pumps, and filters.",18,22
http://data.europa.eu/esco/occupation/9161b2df-624c-4f5e-ad6c-0392439fa5c3,starch extraction operator,8160," Starch extraction operators use equipment to extract starch from raw material such as corn, potatoes, rice, tapioca, wheat, etc. 
",25,10
http://data.europa.eu/esco/occupation/ca2da084-3bfa-47d8-84ba-ef890191708d,vermouth manufacturer,8160,"Vermouth manufacturers perform all the production processes required to produce vermouth. They mix ingredients and botanicals with wine and other spirits. They perform maceration, mixing and filtering of beverages together with the botanicals. Moreover, they manage the maturation of the beverages and forecast when the vermouth is ready for bottling.",16,10
http://data.europa.eu/esco/occupation/e19a0f13-da49-42cb-8b3a-27da8ce44c8c,glass forming machine operator,8181,"Glass forming machine operators operate and maintain machines that press or blow molten glass in moulds to form or shape products, such as neons, bottles, jars and drinking glasses. They set up and adjust machines, and weigh, measure and check production samples to check conformity to the set specifications.",17,22
http://data.europa.eu/esco/occupation/d9e4581a-91b3-47f9-a2d5-70eb542caac5,footwear finishing and packing operator,8183,"Footwear finishing and packing operators apply several techniques for assuring an appropriate final appearance of the packed pairs of footwear that are going to be sold. They perform according to the information received from their supervisor about the shoes that are going to be finished, about the means and materials to be used and the sequence of operations.",10,3
http://data.europa.eu/esco/occupation/2be85651-c94a-4531-9df8-3cc56932960e,heat sealing machine operator,8183,"Heat sealing machine operators operate sealing and gluing machines to join items together for further processing or to seal products or packages, using heat.",12,17
http://data.europa.eu/esco/occupation/976f752c-5f10-42ca-84fb-89aa529af04f,patient transport services driver,8322,"Patient transport services drivers transfer disabled, vulnerable and elderly patients to and from health care facilities such as hospitals or social care settings. They drive the ambulance and maintain all the related equipment but under non-emergency circumstances.",14,10
http://data.europa.eu/esco/occupation/1e9e18cb-80b6-4598-acdb-ae3b51047720,aircraft fuel system operator,8332,Aircraft fuel system operators maintain fuel distribution systems and ensure the refuelling of planes. ,10,2
http://data.europa.eu/esco/occupation/c5d779f4-345b-4918-872b-a1cbaeb1d9be,dangerous goods driver,8332,"Dangerous goods drivers transport fuel and bulk liquid, hazardous products and chemicals by road.",21,2
http://data.europa.eu/esco/occupation/eedbf8b1-9432-4f42-ab7f-db5cd3eb2a05,excavator operator,8342,"Excavator operators use excavators to dig into earth or other materials to remove it. They are involved in a variety of projects, such as demolition, dredging, and the of digging holes, foundations and trenches.",18,20
http://data.europa.eu/esco/occupation/b4f4b21e-7664-45ca-9697-9123cfd8c9ef,pile driving hammer operator,8342,Pile driving hammer operators work with a piece of heavy equipment that positions piles and hammers them into the ground using a rigging mechanism.,15,16
http://data.europa.eu/esco/occupation/1bcc6461-4cc2-4732-a6d0-901687046443,snow-clearing worker,8342,"Snow-clearing workers operate trucks and plows to remove snow and ice from public sidewalks, streets and other locations. They also dump salt and sand on the ground to de-ice the concerning locations.",11,9
http://data.europa.eu/esco/occupation/dc90cee4-bf4a-4d62-b729-faf49e62643e,container crane operator,8343,"Container crane operators operate electrically powered cranes equipped with cantilevers on which hoisting gear is supported to load or unload container cargo. They move towers in position alongside vessel and lower cantilevers over the deck or hold of a vessel. They lift and move container along the cantilever and position the container on the dock, on the vessel deck or in the hold.",14,8
http://data.europa.eu/esco/occupation/837502a6-57d9-4df4-903a-8a67dd53927f,engine minder,8350,Engine minders perform work related to the deck department of an inland water transport vessel. They use their experience on-board a motorised inland navigation vessel as an ordinary crewmember and have a basic knowledge of engines.,26,8
http://data.europa.eu/esco/occupation/503ea267-93e9-4b8c-ae5e-817fe7e4a245,street sweeper,9613,"Street sweepers operate sweeping equipment and machinery to remove waste, leaves or debris from streets. They maintain records of sweeping operations and maintain, clean and perform minor repairs to the equipment used.",13,13
http://data.europa.eu/esco/occupation/e31c83ac-cb74-4936-88f1-90ed0997b29b,amusement and recreation attendant,9629,"Amusement and recreation attendants perform a variety of attending duties at amusement or recreation facility. They may schedule the use of recreation facilities, maintain and provide equipment to participants of sporting events or recreational pursuits or operate amusement concessions and rides.",9,7
http://data.europa.eu/esco/occupation/1f1a45a8-8f5c-4b66-a8a1-e02490addc55,locker room attendant,9629,"Locker room attendants assist customers in handling personal items and articles in changing rooms, usually in sports or theatre areas. They also maintain the overall cleanliness of the designated areas and help with lost and found issues.",7,13
http://data.europa.eu/esco/isco/C242,Administration professionals,,"Administration professionals apply various concepts and theories related to improving the effectiveness of organizations and the individuals within the organization.
Tasks performed usually include:  evaluating the structure of organizations and suggesting areas of improvement; ensuring that the operational activities of an organization are consistent with the policy objectives of the organization; recruiting, training, developing and counselling personnel within an organization.
Occupations in this minor group are classified into the following unit groups:
2421 Management and Organization Analysts
2422 Policy Administration Professionals
2423 Personnel and Careers Professionals
2424 Training and Staff Development Professionals
",0,0
http://data.europa.eu/esco/isco/C2514,Applications programmers,,"Applications programmers write and maintain programmable code outlined in technical instructions and specifications for software applications and operating systems.
Tasks include -
(a)  writing and maintaining program code outlined in instructions and specifications in accordance with quality accredited standards;
(b)  revising, repairing or expanding existing programs to increase operating efficiency or adapt to new requirements;
(c)  conducting trial runs of programs and software applications to confirm that they will produce the desired information;
(d)  compiling and writing documentation of program development;
(e)  identifying and communicating technical problems, processes and solutions.
Examples of the occupations classified here:
- Applications programmer
Some related occupations classified elsewhere: 
- Programmer analyst - 2512
- Software developer - 2512
- Multimedia programmer - 2513
",0,0
